Item_Name,SKU,GMV,Units_Sold,Orders,Offer_Pageviews,Offer_Conversion,Item_id,Base_Item_Id,Item_Pageviews,Item_Conversion,Auth_Sales,Cancelled_Sales,Refund_Sales,Department,Brand,Listing_Quality_Score,GMV_Minus_Commission,AUR,Cancelled_Units,Item_Condition
"Pre-Owned Dell Optiplex 3020 Desktop Tower Computer, Intel Core i3, 8GB RAM, 1TB HD, DVD-ROM, Windows 11 Pro 64Bit, Black with (Monitor Not Included)",ZD4-0I79-V74,145.10,1,1,1,100.0,444470053,444470053,1,100.0,145.10,0.00,0.00,TABLETS,Dell,100.0,136.39,145.10000000000000000,0,Pre-Owned: Good
"Dell Optiplex 790 Tower Computer PC, 3.20 GHz Intel i5 Quad Core Gen 2, 8GB DDR3 RAM, 500GB SATA Hard Drive, Windows 10 Professional 64bit",WI1-9V68-A71,149.34,1,1,1,100.0,619543639,619543639,6,16.666666666666664,149.34,0.00,0.00,COMPUTING,Dell,100.0,140.38,149.34000000000000000,0,New
"Windows 11 Pro Dell OptiPlex 9020 Desktop Computer, Intel Core i5 i5-4590 Quad-core (4 Core) 3.30 GHz, 8GB RAM DDR3 SDRAM, 500GB HDD, Small Form Factor, Black, Gray with 19"" LCD Monitor",OH2-1X16-O20,11084.31,70,100,4325,2.3815028901734103,884308220,884308220,7940,1.6624685138539042,16223.94,485.70,4653.93,COMPUTING,Dell,34.361307303110756,10418.57,159.05823529410000000,3,New
Pre-Owned Used Fast HP 8200 Desktop Computer Tower PC Intel Quad-Core i3 3.2GHz Processor 16GB RAM 500GB Hard Drive Windows 11 Pro with a (Monitor Not Included) Keyboard and Mouse,NM3-0W64-R90,0.00,0,0,0,"",646595850,646595850,0,"",0.00,0.00,0.00,TABLETS,HP,0.0,0.00,"",0,Pre-Owned: Good
"Restored Dell Micro Desktop Computer OptiPlex 3020 Intel Core i5 Processor 8GB Memory 500GB HDD Wi-fi 17"" LCD Monitor - PC Windows 10 (Refurbished)",92G-7KS-J63,0.00,0,0,4,0.0,552306134,552306134,52,1.9230769230769231,0.00,0.00,0.00,TABLETS,Dell,60.106916427612305,0.00,"",0,Restored: Like New
"Restored HP G1 Desktop Computer Core i5 Processor 3.2GHz 16GB RAM 256GB SSD Dual 19"" LCD Windows 10 Pro (Refurbished)",Z7Q-QQE-8AX4,598.36,4,8,215,4.186046511627907,1395539987,1395539987,1125,2.0444444444444447,1196.72,0.00,598.36,TABLETS,HP,0.0,562.44,149.59000000000000000,0,Restored: Like New
"Restored Dell 390 Desktop Computer with Intel Core i3 Processor, 8GB Memory, 500GB HD and Windows 10 PC (Refurbished)",00825633324718,0.00,0,1,8,12.5,44197989,44197989,11,9.090909090909092,102.86,0.00,102.86,TABLETS,Dell,33.333333333333336,0.00,102.86000000000000000,0,Restored: Like New
"Restored Dell Optiplex Dual Monitor Desktop Computer with Intel 2.13GHz Processor 4GB RAM 250GB HD 300Mps Wifi DVD Windows 10 and 2x 17"" LCD Monitor's PC with (Refurbished)",00671983587613,0.00,0,0,0,"",998014707,998014707,0,"",0.00,0.00,0.00,TABLETS,Dell,0.0,0.00,"",0,Restored: Like New
"Restored Dell Optiplex 7020 Desktop Computer, Intel Core I5, 16GB RAM 1TB HDD Windows 10 Professional, Includes 19 in LCD Monitor, USB Keyboard and Mouse (Refurbished)",EK6-2G37-F50,0.00,0,0,0,"",438095080,438095080,11,0.0,0.00,0.00,0.00,TABLETS,Dell,100.0,0.00,"",0,Restored: Like New
"Restored Dell OptiPlex 7010 Tower Desktop PC with Intel Core i5-3450 Processor, 8GB Memory, 500GB Hard Drive and Windows 11 Pro (Monitor Not Included) (Refurbished)",HP6-2F29-A95,0.00,0,1,0,"",298437891,298437891,0,"",157.87,0.00,157.87,TABLETS,Dell,50.0,0.00,157.87000000000000000,0,Restored: Like New
