order_number,source_platform,status,order_date,total_amount,customer,tracking_number
09-13554-71594,SHIPSTATION,SHIPPED,2025-09-08 09:48:12+00:00,49.38,<app.models.models.Customer object at 0x7f572cd36250>,9434650105501046120648
200013672530292,SHIPSTATION,SHIPPED,2025-09-05 09:12:27.190000+00:00,123.00,<app.models.models.Customer object at 0x7f572cdbc750>,393063393668
21-13537-46588,SHIPSTATION,SHIPPED,2025-09-08 06:28:30+00:00,199.26,<app.models.models.Customer object at 0x7f572cdd4950>,9434650206217082125803
200013784092097,SHIPSTATION,SHIPPED,2025-09-19 17:17:38.010000+00:00,0.66,<app.models.models.Customer object at 0x7f572cd69f50>,9400150206217290864356
17-13517-12791,SHIPSTATION,SHIPPED,2025-09-02 00:41:21+00:00,57.97,<app.models.models.Customer object at 0x7f572cd6bc50>,9400150206217260095667
200013591390826,SHIPSTATION,SHIPPED,2025-09-02 01:48:46.510000+00:00,154.70,<app.models.models.Customer object at 0x7f572cd6be50>,392901374776
200013443101987,SHIPSTATION,AWAITING_SHIPMENT,2025-09-06 05:04:01.337000+00:00,168.90,<app.models.models.Customer object at 0x7f572cd13550>,None
200013492717668,SHIPSTATION,SHIPPED,2025-09-21 19:07:53+00:00,0.66,<app.models.models.Customer object at 0x7f572cd6aa50>,9400150105501171605223
07-13558-68822,SHIPSTATION,SHIPPED,2025-09-08 12:59:05+00:00,179.44,<app.models.models.Customer object at 0x7f572cdbea50>,9434650206217082125834
200013753343639,SHIPSTATION,AWAITING_SHIPMENT,2025-09-08 15:34:40.730000+00:00,140.97,<app.models.models.Customer object at 0x7f572cdac350>,None
200013470900717,SHIPSTATION,SHIPPED,2025-09-02 05:54:32.967000+00:00,182.10,<app.models.models.Customer object at 0x7f574572dc50>,None
24-13523-26971,SHIPSTATION,SHIPPED,2025-09-02 06:03:51+00:00,222.87,<app.models.models.Customer object at 0x7f572cd6bd50>,9434650206217078174358
14-13522-08519,SHIPSTATION,SHIPPED,2025-09-02 06:10:34+00:00,21.26,<app.models.models.Customer object at 0x7f5746243b50>,9400150206217260854684
111-6905997-7691454,SHIPSTATION,SHIPPED,2025-09-17 06:08:31+00:00,173.25,<app.models.models.Customer object at 0x7f572cd58850>,393365302241
200013731838117,SHIPSTATION,SHIPPED,2025-09-05 14:06:16.527000+00:00,153.00,<app.models.models.Customer object at 0x7f572cd12950>,393119587767
200013509294681,WALMART,AWAITING_SHIPMENT,2025-09-07 16:24:34.581000+00:00,177.50,<app.models.models.Customer object at 0x7f572cdada50>,None
200013505307751,SHIPSTATION,SHIPPED,2025-09-02 08:13:42.113000+00:00,0.00,<app.models.models.Customer object at 0x7f574572f750>,9400150206217258312202
200013402310708,SHIPSTATION,SHIPPED,2025-09-02 09:12:22.803000+00:00,0.00,<app.models.models.Customer object at 0x7f574572e950>,392755675591
114-4920117-8933063,SHIPSTATION,SHIPPED,2025-09-04 11:38:58+00:00,74.78,<app.models.models.Customer object at 0x7f572cd34750>,9305510965711133151169
11-13536-28399,SHIPSTATION,SHIPPED,2025-09-04 11:32:40+00:00,262.42,<app.models.models.Customer object at 0x7f572cdbf250>,9434650206217080292026
200013448633949,SHIPSTATION,AWAITING_SHIPMENT,2025-09-06 11:50:01.533000+00:00,151.90,<app.models.models.Customer object at 0x7f572cdbd750>,None
03-13566-94203,SHIPSTATION,SHIPPED,2025-09-09 08:06:19+00:00,270.25,<app.models.models.Customer object at 0x7f57450f2f50>,9434650206217082693678
200013626520297,SHIPSTATION,SHIPPED,2025-09-02 09:20:00.787000+00:00,146.90,<app.models.models.Customer object at 0x7f574572ed50>,None
200013449642409,SHIPSTATION,SHIPPED,2025-09-04 14:51:27.830000+00:00,262.99,<app.models.models.Customer object at 0x7f572cd10650>,None
200013541918454,SHIPSTATION,SHIPPED,2025-09-02 09:27:36.050000+00:00,125.20,<app.models.models.Customer object at 0x7f574572c250>,392892201450
18-13527-46206,SHIPSTATION,SHIPPED,2025-09-04 14:03:32+00:00,41.15,<app.models.models.Customer object at 0x7f572cd27750>,9434650105501044521416
22-13522-21574,SHIPSTATION,SHIPPED,2025-09-04 15:02:02+00:00,133.08,<app.models.models.Customer object at 0x7f572cd27850>,9434650206217080291883
200013602040436,SHIPSTATION,AWAITING_SHIPMENT,2025-09-06 14:35:25.827000+00:00,250.00,<app.models.models.Customer object at 0x7f572cdbd850>,None
04-13591-51585,SHIPSTATION,SHIPPED,2025-09-15 15:12:46+00:00,392.72,<app.models.models.Customer object at 0x7f572cd26750>,393286147155
200013580418308,SHIPSTATION,AWAITING_SHIPMENT,2025-09-08 14:20:42.460000+00:00,279.44,<app.models.models.Customer object at 0x7f574572ec50>,None
