Action,Category name,Item number,Title,Listing site,Currency,Start price,Buy It Now price,Available quantity,Relationship,Relationship details,Custom label (SKU),Cost,check
Revise,PC Desktops & All-In-Ones (179),157260514669.0,"Dell Desktop Tower Computer PC i5, up to 32GB RAM 1TB SSD, Windows 11 or 10 WIFI",US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|Storage=256GB SSD;512GB SSD;1TB SSD|Operating System=Windows 10 Pro;Windows 11 Pro,33834111,,False
Revise,PC Desktops & All-In-Ones (179),167770096653.0,"DELL OptiPlex Desktop PC i7,Up to 32GB RAM, 1TB NVME SSD,Windows 11 PRO,Wifi+BT",US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|SSD Capacity=256 GB;512 GB;1 TB,33852307,,False
Revise,PC Desktops & All-In-Ones (179),157298374112.0,"DELL OptiPlex Desktop PC i5,Up to 32GB RAM, 1TB NVME SSD,Windows 11 PRO,Wifi+BT",US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|SSD Capacity=256 GB;512 GB;1 TB,33852309,,False
Revise,PC Desktops & All-In-Ones (179),157298843945.0,Dell OptiPlex SFF Desktop PC Intel i5 | Up to 32GB RAM | 1TB SSD | Win 10/11 Pro,US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|Hard Drive Capacity=256 GB;512 GB;1TB SSD|Operating System=Windows 10 Pro;Windows 11 Pro,33852731,,False
,,,,,,,,,,,00825633516779,67.5,False
,,,,,,,,,,,0604d9e2-71d7-4c6d-a568-9c62cad25098,43.19,False
Revise,PC Desktops & All-In-Ones (179),167708644816.0,Dell 7040 Micro Mini Tiny PC i5-6500T Quad 8GB Ram 256GB SSD HDMI/DSP Win11 Pro,US,USD,192.08,,0.0,,,061-RQJ-4TM,,False
,,,,,,256.2,,3.0,Variation,RAM Size=32 GB|Storage=1TB SSD|Operating System=Windows 10 Pro,0Z9-B1F-FWN,,False
Revise,PC Desktops & All-In-Ones (179),167765610440.0,"Dell OptiPlex SFF Desktop PC Intel Core i5, 16GB RAM, 256GB SSD, Windows 11 Pro",US,USD,218.5,,10.0,,,153K-2MBV-TX6OP,,False
,,,,,,,,,,,161729124565,0.0,False
,,,,,,,,,,,1OA-4B17-TWR,50.5,False
,,,,,,,,,,,2EE-RLCG-TR2,63.19,False
,,,,,,,,,,,2VI-I7G-MNW,68.0,False
,,,,,,,,,,,4OW-QT2I-HH7,60.19,False
,,,,,,,,,,,5QZ-IN-IHH,49.4,False
,,,,,,,,,,,5UQ-AM7V-4T42,53.0,False
,,,,,,,,,,,6P2-F55I-A0I,23.5,False
,,,,,,,,,,,6R5-87OV-BFC,0.0,False
,,,,,,,,,,,6UZ-QU-P0Q,32.5,False
,,,,,,,,,,,75B-KN1-GBN,79.4,False
,,,,,,,,,,,76S-SKX-2GG,24.0,False
,,,,,,,,,,,7KP-W12T-X04,0.0,False
,,,,,,,,,,,820-0FA-Z24,64.0,False
,,,,,,,,,,,8N9-9O5-JHAP,55.4,False
Revise,PC Desktops & All-In-Ones (179),167765869992.0,Dell Optiplex Tower Intel Core i5-9th 16Gb 256Gb SSD Windows 11 pro,US,USD,272.25,,0.0,,,94QA-IJFQ-HM54B,,False
,,,,,,,,,,,9Q6-D0HV-8AM2,65.5,False
,,,,,,,,,,,BO4-7M90-S90,60.5,False
,,,,,,164.2,,3.0,Variation,RAM Size=8 GB|Storage=1TB SSD|Operating System=Windows 10 Pro,C49-LBE-V6B,,False
,,,,,,,,,,,C5M-QTAC-19Z6,96.4,False
,,,,,,,,,,,CD8-2H12-F44,40.5,False
,,,,,,,,,,,CI2-NK-Y76,60.19,False
,,,,,,,,,,,CJ2-197J-NTL,59.5,False
,,,,,,,,,,,COS-GHB-C54,65.5,False
,,,,,,,,,,,COS-GHB-C54-3,65.5,False
,,,,,,,,,,,COS-GHB-C54-4,79.5,False
,,,,,,,,,,,COS-GHB-C54-5,100.5,False
,,,,,,,,,,,CP5-3U42-B68,43.0,False
,,,,,,,,,,,CRN-CXZS-GOH,47.19,False
,,,,,,,,,,,D7B2-9MJP-G9OGM,44.0,False
,,,,,,,,,,,EVO-TV33-F17M,50.5,False
,,,,,,,,,,,FG6-2I62-R63,46.19,False
,,,,,,,,,,,FRK-Q4T-FLG,43.19,False
,,,,,,,,,,,FVY-UTNQ-UTK,58.19,False
,,,,,,,,,,,GCC-X2U0-KSS,59.19,False
,,,,,,,,,,,HD8E-BGE5-AV31W,64.4,False
,,,,,,,,,,,HS8-JHCB-UTE,67.5,False
,,,,,,,,,,,I9A-SVDD-V9K,34.5,False
,,,,,,264.2,,2.0,Variation,RAM Size=32 GB|Storage=1TB SSD|Operating System=Windows 11 Pro,ID6-SI8-OUM,118.0,False
,,,,,,,,,,,IDB-J3T-NFX,40.19,False
,,,,,,,,,,,IF_00CBC69C,46.5,False
,,,,,,233.8,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=NONE,IF_0374C0C1,,False
,,,,,,,,,,,IF_03F4810C,28.5,False
,,,,,,,,,,,IF_05EDD41C,47.4,False
,,,,,,,,,,,IF_07196951-2,53.19,False
,,,,,,200.2,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=NONE,IF_07291B55,,False
,,,,,,188.2,,3.0,Variation,RAM Size=32 GB|Storage=256GB SSD|Operating System=Windows 11 Pro,IF_0777984F,83.0,False
,,,,,,220.99,,3.0,Variation,RAM Size=8 GB|Hard Drive Capacity=512 GB|Operating System=Windows 11 Pro,IF_083B52AE,,False
,,,,,,238.6,,3.0,Variation,RAM Size=32 GB|SSD Capacity=512 GB,IF_0E5D9C30,,False
,,,,,,,,,,,IF_0E61F217,41.5,False
,,,,,,,,,,,IF_1058D2AA-2,73.4,False
,,,,,,,,,,,IF_154D8723,58.0,False
,,,,,,164.2,,3.0,Variation,RAM Size=16 GB|Storage=512GB SSD|Operating System=Windows 10 Pro,IF_15BBD94B,,False
,,,,,,262.4,,3.0,Variation,RAM Size=32 GB|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,IF_173CE468,,False
,,,,,,133.17,,3.0,Variation,RAM Size=16 GB|SSD Capacity=256 GB,IF_18D2B485,,False
,,,,,,,,,,,IF_19C70EBB-2,41.19,False
,,,,,,128.2,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=128 GB|Accessories=NONE,IF_1AA7419F,54.5,False
,,,,,,,,,,,IF_1BFDF118-2,68.0,False
,,,,,,,,,,,IF_1DD907F1-2,64.4,False
,,,,,,,,,,,IF_1EF39CE9,53.4,False
,,,,,,,,,,,IF_1FC6E52C,88.0,False
,,,,,,,,,,,IF_1FC97F7C,30.5,False
,,,,,,224.17,,10.0,Variation,RAM Size=32 GB|SSD Capacity=1 TB,IF_2040DA2A,,False
,,,,,,,,,,,IF_209E7827,45.4,False
,,,,,,,,,,,IF_219DC41B,75.0,False
,,,,,,,,,,,IF_24ADC93E,42.4,False
,,,,,,112.2,,2.0,Variation,RAM Size=8 GB|Storage=256GB SSD|Operating System=Windows 10 Pro,IF_288CE5A8,56.0,False
,,,,,,,,,,,IF_29859A48,69.4,False
,,,,,,,,,,,IF_29AE6CE8-1,53.0,False
,,,,,,134.6,,3.0,Variation,RAM Size=8 GB|SSD Capacity=256 GB,IF_2C293D70,,False
,,,,,,242.6,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=NONE,IF_319F6A60,,False
,,,,,,,,,,,IF_32060B10,60.4,False
,,,,,,158.6,,3.0,Variation,RAM Size=8 GB|SSD Capacity=512 GB,IF_35B5AB01,,False
,,,,,,,,,,,IF_3687EDE9-DELL,72.4,False
,,,,,,,,,,,IF_378ECD6C,116.5,False
,,,,,,208.2,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=NONE,IF_3ACB4173,,False
,,,,,,,,,,,IF_3EB7E2C5,28.5,False
,,,,,,,,,,,IF_3ED4AAAD,48.0,False
,,,,,,,,,,,IF_4416BA1E,71.4,False
,,,,,,,,,,,IF_460893CB,95.5,False
,,,,,,182.6,,2.0,Variation,RAM Size=16 GB|SSD Capacity=512 GB,IF_496FC182,,False
,,,,,,233.8,,3.0,Variation,RAM Size=32 GB|Storage=512GB SSD|Operating System=Windows 11 Pro,IF_4A4E9330,97.0,False
,,,,,,140.17,,3.0,Variation,RAM Size=8 GB|SSD Capacity=1 TB,IF_4AF8F298,,False
,,,,,,,,,,,IF_4DBEEDE3-2,44.4,False
,,,,,,,,,,,IF_4DE61834-2,69.0,False
,,,,,,112.17,,10.0,Variation,RAM Size=8 GB|SSD Capacity=256 GB,IF_4FCBCCE8,,False
,,,,,,,,,,,IF_504BA5AB,41.19,False
,,,,,,294.56,,3.0,Variation,RAM Size=8 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 10 Pro,IF_51008F76,,False
,,,,,,162.25,,3.0,Variation,RAM Size=8 GB|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,IF_515934EF,,False
