Action,Category name,Item number,Title,Listing site,Currency,Start price,Buy It Now price,Available quantity,Relationship,Relationship details,Custom label (SKU),Cost,check
Revise,PC Desktops & All-In-Ones (179),157260514669.0,"Dell Desktop Tower Computer PC i5, up to 32GB RAM 1TB SSD, Windows 11 or 10 WIFI",US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|Storage=256GB SSD;512GB SSD;1TB SSD|Operating System=Windows 10 Pro;Windows 11 Pro,33834111,,False
Revise,PC Desktops & All-In-Ones (179),167802068592.0,"DELL OptiPlex Desktop PC i7,Up to 32GB RAM, 1TB NVME SSD,Windows 11 PRO,Wifi+BT",US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|SSD Capacity=256 GB;512 GB;1 TB,33852307,,False
Revise,PC Desktops & All-In-Ones (179),157298374112.0,"DELL OptiPlex Desktop PC i5,Up to 32GB RAM, 1TB NVME SSD,Windows 11 PRO,Wifi+BT",US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|SSD Capacity=256 GB;512 GB;1 TB,33852309,,False
Revise,PC Desktops & All-In-Ones (179),157298843945.0,Dell OptiPlex SFF Desktop PC Intel i5 | Up to 32GB RAM | 1TB SSD | Win 10/11 Pro,US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|Hard Drive Capacity=256 GB;512 GB;1TB SSD|Operating System=Windows 10 Pro;Windows 11 Pro,33852731,,False
Revise,PC Desktops & All-In-Ones (179),157324971862.0,Lenovo Windows 11 Pro Desktop Intel i5 Computer PC SFF 8/16GB RAM 512GB SSD WiFi,US,USD,,,,,RAM Size=8 GB;16 GB|SSD Capacity=256 GB;512 GB;1 TB,33868833,,False
Revise,PC Desktops & All-In-Ones (179),167794422406.0,Windows 11 Lenovo Small Tiny PC Computer Intel i5-6th 32GB 2TB SSD Wi-Fi Desktop,US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|SSD Capacity=128 GB;256 GB;512 GB;1 TB;2 TB|ACCESSORIES=Display Cable;None,33868877,,False
,,,,,,,,,,,00825633516779,67.5,False
,,,,,,,,,,,0604d9e2-71d7-4c6d-a568-9c62cad25098,43.19,False
,,,,,,256.2,,5.0,Variation,RAM Size=32 GB|Storage=1TB SSD|Operating System=Windows 10 Pro,0Z9-B1F-FWN,,False
Revise,PC Desktops & All-In-Ones (179),167765610440.0,"Dell OptiPlex SFF Desktop PC Intel Core i5, 16GB RAM, 256GB SSD, Windows 11 Pro",US,USD,288.5,,5.0,,,153K-2MBV-TX6OP,,False
