Custom label (SKU),Title,Cost,Start price,2 * Cost,Result
9Q6-D0HV-8AM2,,65.5,148.72,False,Excellent
C5M-QTAC-19Z6,,96.4,165.25,False,Review
COS-GHB-C54,,65.5,126.0,False,Review
COS-GHB-C54-3,,65.5,102.0,False,Review
COS-GHB-C54-4,,79.5,126.0,False,Review
COS-GHB-C54-5,,100.5,150.0,False,Review
ID6-SI8-OUM,,118.0,264.2,False,Excellent
IF_00CBC69C,,46.5,105.0,False,Excellent
IF_0777984F,,83.0,188.2,False,Excellent
IF_154D8723,,58.0,150.25,False,Excellent
IF_1AA7419F,,54.5,128.2,False,Excellent
IF_1FC6E52C,,88.0,174.25,False,Review
IF_219DC41B,,75.0,184.25,False,Excellent
IF_288CE5A8,,56.0,112.2,False,Excellent
IF_378ECD6C,,116.5,255.0,False,Excellent
IF_3ED4AAAD,,48.0,132.25,False,Excellent
IF_460893CB,,95.5,215.0,False,Excellent
IF_4A4E9330,,97.0,233.8,False,Excellent
IF_527A15FF,,81.0,168.2,False,Excellent
IF_542FB4D4,,56.0,147.25,False,Excellent
IF_63447A08,,71.5,175.0,False,Excellent
IF_6F58ECAD,,73.0,140.2,False,Review
IF_80A06F63,,66.0,148.2,False,Excellent
IF_84587549,,57.5,116.2,False,Excellent
IF_888ED41F,,69.5,230.25,False,Excellent
IF_AE708265,,10.5,274.25,False,Excellent
IF_DD1CDD4E,,56.0,146.25,False,Excellent
IF_E3B10D9A,,46.5,115.4,False,Excellent
IF_EE1C3267,,66.0,165.25,False,Excellent
L18-1FD-2IU,Dell OptiPlex 3050 Tiny Mini Micro PC i5-7500T 8GB RAM 256GB SSD Win11 PRO,27.5,78.0,False,Excellent
PYR5_In2_16_50_Wi2,,34.5,242.23,False,Excellent
PYR5_In2_16_51_Wi2,,59.5,290.68,False,Excellent
PYR5_In2_32_51_Wi2,,75.5,349.58,False,Excellent
PYR5_In3_16_1 _Wi2,,80.5,418.69,False,Excellent
PYR5_In3_16_1T_Wi2,,45.5,240.25,False,Excellent
PYR5_In3_16_25_Wi2,,45.5,245.25,False,Excellent
PYR5_In3_16_50_Wi2,,34.5,230.25,False,Excellent
PYR5_In3_16_51_Wi,,59.5,270.25,False,Excellent
PYR5_In3_16_51_Wi2,,59.5,270.25,False,Excellent
PYR5_In3_32_1 _Wi,,96.5,330.25,False,Excellent
PYR5_In3_32_1 _Wi2,,95.5,340.25,False,Excellent
PYR5_In3_32_1T_Wi2,,60.5,275.25,False,Excellent
PYR5_In3_32_51_Wi2,,75.5,298.25,False,Excellent
PYR5_In3_8G_50_Wi2,,25.5,210.25,False,Excellent
PYR5_In_8G_25_Wi,,37.5,173.83,False,Excellent
PYR5_In_8G_4T_Wi2,,8.5,222.28,False,Excellent
PYR5_In_8G_50_Wi,,26.5,173.55,False,Excellent
PYR5_In_8G_50_Wi2,,44.5,173.55,False,Excellent
QO3L-BEZ-19L07,,69.5,165.82,False,Excellent
