#INFO,Version=1.0.0,Template= eBay-active-revise-price-quantity-download_US,,,,,,,,,
Action,Category name,Item number,Title,Listing site,Currency,Start price,Buy It Now price,Available quantity,Relationship,Relationship details,Custom label (SKU)
Revise,"CPUs/Processors (164)","167669551717",Intel Core i3 4th Gen CPU Processor | 3.20GHz | Desktop LGA1150,"US","USD",,,,,Generation=2nd Gen;3rd Gen;4th Gen;6th Gen,4XD-HC8-YC8
,,,,,,"8.25",,"10","Variation",Generation=2nd Gen,4XD-HC8-YC8
,,,,,,"10.25",,"10","Variation",Generation=3rd Gen,4XD-HC8-YC8-1
,,,,,,"14.25",,"10","Variation",Generation=4th Gen,4XD-HC8-YC8-2
,,,,,,"25.25",,"10","Variation",Generation=6th Gen,4XD-HC8-YC8-3
Revise,"CPUs/Processors (164)","167683932813",10th Gen Intel Core i5-10500 CPU 3.1GHz (Turbo 4.5GHz) 6-Core 12M LGA1200 SRH37,"US","USD","106.0",,"2",,,D5B-F8Q-75O
Revise,"CPUs/Processors (164)","167683955270",10th Gen Intel Core i5-10500 CPU 3.3GHz (Turbo 4.8GHz) 6-Core 12M LGA1200 SRH37,"US","USD","109.25",,"2",,,7JJ-H5B-2EN
Revise,"CD, DVD & Blu-ray Drives (131542)","167684293080",LOT 3 Internal Desktop Computer DVDRW Rewritable Sata Drive Burner for Dell HP,"US","USD","20.99",,"10",,,IF_03608CCF-1
Revise,"PC Desktops & All-In-Ones (179)","157235581601",Lenovo ThinkCentre M710q i5-7500T 8GB 240GB SSD DP  WIFI Win 10 Pro,"US","USD","165.92",,"0",,,DUM-7PF-I5E
Revise,"PC Desktops & All-In-Ones (179)","167708508632",Lenovo ThinkCentre M720q Tiny i5 8700T 2.40GHz 8GB RAM 256GB SSD Wi-Fi Win 11,"US","USD","175.45",,"0",,,KXU-Z9X-N6Q
Revise,"PC Desktops & All-In-Ones (179)","167708644816",Dell 7040 Micro Mini Tiny PC i5-6500T Quad 8GB Ram 256GB SSD HDMI/DSP Win11 Pro,"US","USD","192.08",,"0",,,061-RQJ-4TM
Revise,"PC Desktops & All-In-Ones (179)","157235882766",Dell OptiPlex 3050 Tiny Mini Micro PC i5-7500T 8GB RAM 256GB SSD Win11 PRO,"US","USD","78.0",,"0",,,L18-1FD-2IU
Revise,"Monitors (80053)","167716631482","Dell 22″ Widescreen LCD Monitor – 1680×1050/1080p, Includes Stand & VGA Cable","US","USD","99.98",,"10",,,3RO-G77-WMK
Revise,"PC Desktops & All-In-Ones (179)","157260514669","Dell Desktop Tower Computer PC i5, up to 32GB RAM 1TB SSD, Windows 11 or 10 WIFI","US","USD",,,,,RAM Size=8 GB;16 GB;32 GB|Storage=256GB SSD;512GB SSD;1TB SSD|Operating System=Windows 10 Pro;Windows 11 Pro,33834111
,,,,,,"112.2",,"2","Variation",RAM Size=8 GB|Storage=256GB SSD|Operating System=Windows 10 Pro,IF_288CE5A8
,,,,,,"116.2",,"3","Variation",RAM Size=8 GB|Storage=256GB SSD|Operating System=Windows 11 Pro,IF_84587549
,,,,,,"136.2",,"3","Variation",RAM Size=8 GB|Storage=512GB SSD|Operating System=Windows 10 Pro,IF_6F3E6AC4
,,,,,,"140.2",,"3","Variation",RAM Size=8 GB|Storage=512GB SSD|Operating System=Windows 11 Pro,IF_6F58ECAD
,,,,,,"140.2",,"3","Variation",RAM Size=16 GB|Storage=256GB SSD|Operating System=Windows 10 Pro,IF_AC98C8AB
,,,,,,"148.2",,"3","Variation",RAM Size=16 GB|Storage=256GB SSD|Operating System=Windows 11 Pro,IF_80A06F63
,,,,,,"164.2",,"3","Variation",RAM Size=16 GB|Storage=512GB SSD|Operating System=Windows 10 Pro,IF_15BBD94B
,,,,,,"168.2",,"3","Variation",RAM Size=16 GB|Storage=512GB SSD|Operating System=Windows 11 Pro,IF_527A15FF
,,,,,,"182.6",,"3","Variation",RAM Size=32 GB|Storage=256GB SSD|Operating System=Windows 10 Pro,IF_67D65AE5
,,,,,,"188.2",,"3","Variation",RAM Size=32 GB|Storage=256GB SSD|Operating System=Windows 11 Pro,IF_0777984F
,,,,,,"231.4",,"3","Variation",RAM Size=32 GB|Storage=512GB SSD|Operating System=Windows 10 Pro,IF_C388B158
,,,,,,"233.8",,"3","Variation",RAM Size=32 GB|Storage=512GB SSD|Operating System=Windows 11 Pro,IF_4A4E9330
,,,,,,"164.2",,"3","Variation",RAM Size=8 GB|Storage=1TB SSD|Operating System=Windows 10 Pro,C49-LBE-V6B
,,,,,,"168.2",,"3","Variation",RAM Size=8 GB|Storage=1TB SSD|Operating System=Windows 11 Pro,T5Z-6IK-YH2
,,,,,,"200.2",,"3","Variation",RAM Size=16 GB|Storage=1TB SSD|Operating System=Windows 10 Pro,S3S-2DV-NPM
,,,,,,"208.2",,"3","Variation",RAM Size=16 GB|Storage=1TB SSD|Operating System=Windows 11 Pro,TIY-RYB-8EC
,,,,,,"256.2",,"3","Variation",RAM Size=32 GB|Storage=1TB SSD|Operating System=Windows 10 Pro,0Z9-B1F-FWN
,,,,,,"264.2",,"2","Variation",RAM Size=32 GB|Storage=1TB SSD|Operating System=Windows 11 Pro,ID6-SI8-OUM
Revise,"PC Desktops & All-In-Ones (179)","157272888492",Dell OptiPlex MT Core i5 Desktop PC 16GB RAM 265GB SSD DVD Wi-Fi Windows 11,"US","USD","138.24",,"10",,,IF_A57A50C0
Revise,"PC Desktops & All-In-Ones (179)","157275713968",Alacrity Upgraded 2D Industrial Barcode Scanner w/Wireless Charging Stand Orange,"US","USD","48.5",,"1",,,OUEG-Y8W8-5KCVZ
Revise,"PC Desktops & All-In-Ones (179)","157276020925",Dell Optiplex SFF PC Intel i5 8th Gen 16GB 512GB SSD WIN 11 Pro desktop WIFI,"US","USD","218.99",,"0",,,IF_CBB9302A
Revise,"Barcode Scanners (46706)","167749424223",Symcode MJ R30 2D Portable Wireless Bluetooth Finger Ring Barcode Scanner Reader,"US","USD","75.0",,"3",,,IF_553B391C
Revise,"PC Desktops & All-In-Ones (179)","167765610440","Dell OptiPlex SFF Desktop PC Intel Core i5, 16GB RAM, 256GB SSD, Windows 11 Pro","US","USD","218.5",,"10",,,153K-2MBV-TX6OP
Revise,"PC Desktops & All-In-Ones (179)","167765869992",Dell Optiplex Tower Intel Core i5-9th 16Gb 256Gb SSD Windows 11 pro,"US","USD","272.25",,"0",,,94QA-IJFQ-HM54B
Revise,"PC Desktops & All-In-Ones (179)","167770096653","DELL OptiPlex Desktop PC i7,Up to 32GB RAM, 1TB NVME SSD,Windows 11 PRO,Wifi+BT","US","USD",,,,,RAM Size=8 GB;16 GB;32 GB|SSD Capacity=256 GB;512 GB;1 TB,33852307
,,,,,,"134.6",,"3","Variation",RAM Size=8 GB|SSD Capacity=256 GB,IF_2C293D70
,,,,,,"158.6",,"3","Variation",RAM Size=8 GB|SSD Capacity=512 GB,IF_35B5AB01
,,,,,,"166.6",,"3","Variation",RAM Size=8 GB|SSD Capacity=1 TB,IF_CB0471DA
,,,,,,"158.6",,"3","Variation",RAM Size=16 GB|SSD Capacity=256 GB,IF_6688C352
,,,,,,"182.6",,"2","Variation",RAM Size=16 GB|SSD Capacity=512 GB,IF_496FC182
,,,,,,"222.6",,"3","Variation",RAM Size=16 GB|SSD Capacity=1 TB,IF_D927370C
,,,,,,"222.6",,"3","Variation",RAM Size=32 GB|SSD Capacity=256 GB,IF_B2EB56A4
,,,,,,"238.6",,"3","Variation",RAM Size=32 GB|SSD Capacity=512 GB,IF_0E5D9C30
,,,,,,"262.6",,"1","Variation",RAM Size=32 GB|SSD Capacity=1 TB,IF_B6B8757F
