Action,Category name,Item number,Title,Listing site,Currency,Start price,Buy It Now price,Available quantity,Relationship,Relationship details,Custom label (SKU),Cost
Revise,PC Desktops & All-In-Ones (179),396836992473.0,Dell Windows 11 Pro Desktop Computer PC Core i7 Upto 32GB RAM Upto 1TB SSD,US,USD,,,,,Operating System=Windows 11;Windows 10|Memory=8GB;16GB;32GB|Storage=256GB SSD;512GB SSD;1TB SSD|Accessories=NONE,33729204,
Revise,PC Desktops & All-In-Ones (179),396840594132.0,Dell OptiPlex Desktop Computer PC i7 Up To 32GB RAM 1TB SSD Windows 10/11 Wi-Fi,US,USD,,,,,Operating System=Windows 10 Pro;Windows 11 Pro|RAM Size=8 GB;16 GB;32 GB|SSD Capacity=256 GB;512 GB;1 TB|Accessories=NONE;HDMI Cable;Keyboard & Mouse,33734590,
Revise,PC Desktops & All-In-Ones (179),396870525290.0,"DELL OptiPlex Desktop PC i7,Up to 32GB RAM, 1TB NVME SSD,Windows 10/11,Wifi+BT",US,USD,,,,,Operating System=Windows 10 Pro;Windows 11 Pro|RAM Size=8 GB;16 GB;32 GB|SSD Capacity=256 GB;512 GB;1 TB,33769129,
Revise,PC Desktops & All-In-Ones (179),396911095771.0,"DELL Desktop Computer PC i5,up to 32GB RAM 1TB SSD, Win10/11, WIFI,DVD-RW",US,USD,,,,,Operating System=Windows 10 Pro;Windows 11 Pro|RAM Size=8 GB;16 GB;32 GB|SSD Capacity=128 GB;256 GB;512 GB;1 TB,33800403,
Revise,PC Desktops & All-In-Ones (179),396983416891.0,Dell i5 Desktop Computer | Upto 32GB RAM | Upto 1TB SSD | Windows 10/11 Pro,US,USD,,,,,RAM Size=8 GB;16;32 GB|Hard Drive Capacity=256 GB;512 GB;1TB|Operating System=Windows 10 Pro;Windows 11 Pro,33834589,
Revise,PC Desktops & All-In-Ones (179),396983992138.0,Dell Desktop PC Intel i5 | Windows 11 Pro | Up to 32GB RAM | Up to 1TB SSD,US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|Storage=256GB SSD;512GB SSD;1TB SSD,33835663,
Revise,PC Desktops & All-In-Ones (179),397002556650.0,Dell OptiPlex Desktop PC Intel i5 | Up to 32GB RAM | Up to 1TB SSD | Win 11 Pro,US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|Hard Drive Capacity=256;512;1TB SSD|Operating System=Windows 11 Pro,33842793,
Revise,PC Desktops & All-In-Ones (179),397003046166.0,Dell OptiPlex SFF Desktop PC Intel i5 | Up to 32GB RAM | 1TB SSD | Win 10/11 Pro,US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|Hard Drive Capacity=256 GB;512 GB;1TB|Operating System=Windows 10 Pro;Windows 11 Pro,33843097,
Revise,PC Desktops & All-In-Ones (179),397027214627.0,"DELL OptiPlex Desktop PC i7,Up to 32GB RAM, 1TB NVME SSD,Windows 11 PRO,Wifi+BT",US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|SSD Capacity=256 GB;512 GB;1 TB,33852308,
,,,,,,,,,,,5QZ-IN-IHH,49.4
,,,,,,240.25,,10.0,Variation,RAM Size=32 GB|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,8UU-YDE-UTF,
,,,,,,,,,,,9Q6-D0HV-8AM2,65.5
,,,,,,146.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=256 GB,BYD-YFD-VTQ,
,,,,,,185.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=512 GB,BYD-YFD-VTQ-1,
,,,,,,196.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=512 GB,BYD-YFD-VTQ-10,
,,,,,,230.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=1 TB,BYD-YFD-VTQ-11,
,,,,,,192.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=256 GB,BYD-YFD-VTQ-12,
,,,,,,210.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=512 GB,BYD-YFD-VTQ-13,
,,,,,,250.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=1 TB,BYD-YFD-VTQ-14,
,,,,,,222.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=256 GB,BYD-YFD-VTQ-15,
,,,,,,235.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=512 GB,BYD-YFD-VTQ-16,
,,,,,,278.25,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=1 TB,BYD-YFD-VTQ-17,
,,,,,,219.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=1 TB,BYD-YFD-VTQ-2,
,,,,,,165.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=256 GB,BYD-YFD-VTQ-3,
,,,,,,190.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=512 GB,BYD-YFD-VTQ-4,
,,,,,,240.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=1 TB,BYD-YFD-VTQ-5,
,,,,,,211.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=256 GB,BYD-YFD-VTQ-6,
,,,,,,225.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=512 GB,BYD-YFD-VTQ-7,
,,,,,,268.25,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=1 TB,BYD-YFD-VTQ-8,
