#INFO,Version=1.0.0,Template= eBay-active-revise-price-quantity-download_US,,,,,,,,,
Action,Category name,Item number,Title,Listing site,Currency,Start price,Buy It Now price,Available quantity,Relationship,Relationship details,Custom label (SKU)
Revise,"Internal Hard Disk Drives (56083)","394223993781","512GB SSD SATA 2.5"" Internal Hard Drive For PC Laptop Win 10 Pro 64Bit Legacy","US","USD",,,,,Lot=Lot of 1|Storage Capacity=120/128SSD;240/256SSD;480/512SSD;960/1TB,CE8-8IK-7ZEU
,,,,,,"21.95",,"10","Variation",Lot=Lot of 1|Storage Capacity=120/128SSD,CE8-8IK-7ZEU-1
,,,,,,"35.95",,"10","Variation",Lot=Lot of 1|Storage Capacity=240/256SSD,CE8-8IK-7ZEU-2
,,,,,,"55.95",,"10","Variation",Lot=Lot of 1|Storage Capacity=480/512SSD,CE8-8IK-7ZEU-3
Revise,"Internal Hard Disk Drives (56083)","394225069476","1TB SSD Drive ATA 2.5"" Internal Hard Drive For PC Laptop With Win 7 Pro 64Bit","US","USD",,,,,Lot=Lot of 1|Storage Capacity=120/128SSD;240/256SSD;480/512SSD;960/1TB,Q91-10F-S60V
,,,,,,"21.55",,"10","Variation",Lot=Lot of 1|Storage Capacity=120/128SSD,Q91-10F-S60V-1-1-1
,,,,,,"35.95",,"10","Variation",Lot=Lot of 1|Storage Capacity=240/256SSD,Q91-10F-S60V-2-1-1
,,,,,,"55.95",,"10","Variation",Lot=Lot of 1|Storage Capacity=480/512SSD,Q91-10F-S60V-3-1-1
Revise,"Internal Hard Disk Drives (56083)","394225110400","2TB SATA 3.5"" Dell HP Lenovo Desktop Hard drive Win 10 Pro 64-Bit Legacy","US","USD",,,,,Lot=Lot of 1|Storage Capacity=250GB;320GB;500GB;1TB;2TB,SIH-HZJ-02MA
,,,,,,"16.95",,"10","Variation",Lot=Lot of 1|Storage Capacity=250GB,SIH-HZJ-02MA-1
,,,,,,"18.95",,"10","Variation",Lot=Lot of 1|Storage Capacity=320GB,SIH-HZJ-02MA-2
,,,,,,"21.95",,"10","Variation",Lot=Lot of 1|Storage Capacity=500GB,SIH-HZJ-02MA-3
,,,,,,"31.95",,"10","Variation",Lot=Lot of 1|Storage Capacity=1TB,SIH-HZJ-02MA-4
,,,,,,"50.95",,"10","Variation",Lot=Lot of 1|Storage Capacity=2TB,SIH-HZJ-02MA-5
Revise,"Internal Hard Disk Drives (56083)","394253881308","Custom 1TB HDD/SSD 2.5"" SATA Hard Drive for Laptop Win10 Pro Installed Legacy 64","US","USD",,,,,STORAGE=250GB HDD;320GB HDD;500GB HDD;1TB HDD;128GB SSD;256GB SSD;1TB SSD,O1WT-9RN-V4EFB
,,,,,,"15.25",,"0","Variation",STORAGE=250GB HDD,O1WT-9RN-V4EFB_25
,,,,,,"17.25",,"0","Variation",STORAGE=320GB HDD,O1WT-9RN-V4EFB_32
,,,,,,"20.25",,"0","Variation",STORAGE=500GB HDD,O1WT-9RN-V4EFB_50
,,,,,,"43.25",,"0","Variation",STORAGE=1TB HDD,O1WT-9RN-V4EFB_1T
,,,,,,"20.25",,"10","Variation",STORAGE=128GB SSD,O1WT-9RN-V4EFB_12
,,,,,,"29.25",,"10","Variation",STORAGE=256GB SSD,O1WT-9RN-V4EFB_252
Revise,"Internal Hard Disk Drives (56083)","394308307502","1TB HDD/SSD 2.5"" SATA Hard Drive Laptop with Windows 10 Pro Installed Legacy","US","USD",,,,,Storage-Capacity=128GB SSD;250GB HDD;256GB SSD;500GB HDD;512GB SSD;1TB HDD;1TB SSD,29064141
,,,,,,"19.99",,"10","Variation",Storage-Capacity=128GB SSD,HPBDS28_12
,,,,,,"17.99",,"0","Variation",Storage-Capacity=250GB HDD,HPBDS28_25
,,,,,,"30.99",,"10","Variation",Storage-Capacity=256GB SSD,HPBDS28_252
,,,,,,"22.99",,"0","Variation",Storage-Capacity=500GB HDD,HPBDS28_50
,,,,,,"50.99",,"10","Variation",Storage-Capacity=512GB SSD,HPBDS28_51
,,,,,,"44.99",,"0","Variation",Storage-Capacity=1TB HDD,HPBDS28_1T
