Custom label (SKU),Title,Cost,Start price,check
061-RQJ-4TM,Dell 7040 Micro Mini Tiny PC i5-6500T Quad 8GB Ram 256GB SSD HDMI/DSP Win11 Pro,,192.08,False
0Z9-B1F-FWN,,,256.2,False
153K-2MBV-TX6OP,"Dell OptiPlex SFF Desktop PC Intel Core i5, 16GB RAM, 256GB SSD, Windows 11 Pro",,218.5,False
5QZ-IN-IHH,,49.4,,False
94QA-IJFQ-HM54B,Dell Optiplex Tower Intel Core i5-9th 16Gb 256Gb SSD Windows 11 pro,,272.25,False
9Q6-D0HV-8AM2,,65.5,,False
C49-LBE-V6B,,,164.2,False
C5M-QTAC-19Z6,,96.4,,False
COS-GHB-C54,,65.5,,False
COS-GHB-C54-3,,65.5,,False
COS-GHB-C54-4,,79.5,,False
COS-GHB-C54-5,,100.5,,False
ID6-SI8-OUM,,118.0,264.2,False
IF_00CBC69C,,46.5,,False
IF_0374C0C1,,,233.8,False
IF_07291B55,,,200.2,False
IF_0777984F,,83.0,188.2,False
IF_083B52AE,,,220.99,False
IF_0E5D9C30,,,238.6,False
IF_154D8723,,58.0,,False
IF_15BBD94B,,,164.2,False
IF_173CE468,,,262.4,False
IF_18D2B485,,,133.17,False
IF_1AA7419F,,54.5,128.2,False
IF_1FC6E52C,,88.0,,False
IF_2040DA2A,,,224.17,False
IF_219DC41B,,75.0,,False
IF_288CE5A8,,56.0,112.2,False
IF_2C293D70,,,134.6,False
IF_319F6A60,,,242.6,False
IF_35B5AB01,,,158.6,False
IF_378ECD6C,,116.5,,False
IF_3ACB4173,,,208.2,False
IF_3ED4AAAD,,48.0,,False
IF_460893CB,,95.5,,False
IF_496FC182,,,182.6,False
IF_4A4E9330,,97.0,233.8,False
IF_4AF8F298,,,140.17,False
IF_4FCBCCE8,,,112.17,False
IF_51008F76,,,294.56,False
IF_515934EF,,,162.25,False
IF_522BDEDB,,,206.6,False
IF_527A15FF,,81.0,168.2,False
IF_52B11C4C,,,218.0,False
IF_542FB4D4,,56.0,,False
IF_544B799B,,,102.6,False
IF_553B391C,Symcode MJ R30 2D Portable Wireless Bluetooth Finger Ring Barcode Scanner Reader,,75.0,False
IF_579686CA,,,352.5,False
IF_5A4E6062,,,178.6,False
IF_5C9C9740,,,216.25,False
IF_63447A08,,71.5,,False
IF_655E12D1,,,263.99,False
IF_6688C352,,,158.6,False
IF_67D65AE5,,,182.6,False
IF_6B6152B1,,,140.2,False
IF_6F3E6AC4,,,136.2,False
IF_6F58ECAD,,73.0,140.2,False
IF_76F6E1FC,,,295.5,False
IF_77556958,,,258.54,False
IF_80A06F63,,66.0,148.2,False
IF_84587549,,57.5,116.2,False
IF_888ED41F,,69.5,,False
IF_892BCCBB,,,132.2,False
IF_8EB41472,,,348.88,False
IF_8FD3811A,,,189.17,False
IF_90521275,,,120.2,False
IF_93E14B1B,,,133.17,False
IF_978AD2CC,,,165.25,False
IF_9904A0D4,,,187.4,False
IF_9B093AF0,,,189.17,False
IF_9BD04D7F,,,154.17,False
IF_A3112C40,,,312.5,False
IF_A57A50C0,Dell OptiPlex MT Core i5 Desktop PC 16GB RAM 265GB SSD DVD Wi-Fi Windows 11,,138.24,False
IF_AC98C8AB,,,140.2,False
IF_AE063ACA,,,173.0,False
IF_AE708265,,10.5,,False
IF_AFC23013,,,213.8,False
IF_B035807B,,,165.0,False
IF_B2EB56A4,,,222.6,False
IF_B6B8757F,,,262.6,False
IF_BA123A19,,46.5,,False
IF_BC162B16,,81.5,,False
IF_BC17040F,,,149.8,False
IF_BDFA39EF,,,153.8,False
IF_C388B158,,,231.4,False
IF_CB0471DA,,,166.6,False
IF_CB2445F8,,,215.25,False
IF_CB24E8F5,,,203.17,False
